State,2017
The United States,"67,571"
Alabama,"56,219"
Alaska,"86,196"
Arizona,"65,984"
Arkansas,"54,988"
California,"77,410"
Colorado,"82,877"
Connecticut,"82,125"
Delaware,"71,799"
District of Columbia,"89,838"
Florida,"58,674"
Georgia,"64,089"
Hawaii,"81,346"
Idaho,"65,760"
Illinois,"72,913"
Indiana,"64,953"
Iowa,"70,148"
Kansas,"62,889"
Kentucky,"54,901"
Louisiana,"48,151"
Maine,"58,928"
Maryland,"90,734"
Massachusetts,"84,269"
Michigan,"62,342"
Minnesota,"77,341"
Mississippi,"47,837"
Missouri,"62,481"
Montana,"63,450"
Nebraska,"65,855"
Nevada,"64,151"
New Hampshire,"83,591"
New Jersey,"78,739"
New Mexico,"50,401"
New York,"68,021"
North Carolina,"54,762"
North Dakota,"66,500"
Ohio,"67,076"
Oklahoma,"57,343"
Oregon,"69,077"
Pennsylvania,"67,736"
Rhode Island,"72,285"
South Carolina,"60,278"
South Dakota,"62,905"
Tennessee,"61,128"
Texas,"66,417"
Utah,"77,135"
Vermont,"70,385"
Virginia,"78,265"
Washington,"79,071"
West Virginia,"51,900"
Wisconsin,"70,164"
Wyoming,"65,803"
